sentence,label
খাওয়ন শেষ কইরা তার দিক্কা গেল,Sylhet
দেইক্ষা ছোক গেছিল,Sylhet
হুন্দর কিচ্ছু হইতা পারে,Sylhet
আমার ছোডভাই বিয়া করি লাইসে,Sylhet
মাথাত ঘিলু নাই,Sylhet
ডিম দেওয়ন বন্ধ করি লইছে,Sylhet
হগলরে কইছি,Sylhet
কইছি,Sylhet
আমার ইতা করন লাগব,Sylhet
করন লাগব,Sylhet
আইয়ুস,Sylhet
আমি তারে কইলাম ইতা কইরো না,Sylhet
আমি তারে কইলাম,Sylhet
ওটা করিও না,Sylhet
কিতা দরকার আছিল?,Sylhet
দরকার আছিল?,Sylhet
বনানীর কিতা দরকার ?,Sylhet
ইতা করের কিতার লাগি বিয়া বইয়া?,Sylhet
কিতার লাগি বিয়া বইয়া?,Sylhet
ইতা করের,Sylhet
ইগু কিলা ওই,Sylhet
ইগু কিলা ওই,Sylhet
তুমিতাইন ওর অত ঘুম আয় কিওর লাগি,Sylhet
তুমিতাইন ওর ঘুম আয় কিওর লাগি,Sylhet
ঘুম আয় কিওর লাগি,Sylhet
অত ঘুম আয় কিওর লাগি,Sylhet
তুমিতাইন ঘুম আয়,Sylhet
তোমার কাজ-খাম নাই,Sylhet
মাথ ঠিক আছেনি,Sylhet
কান লাল করিয়া পালাইমু তর,Sylhet
আমি সমস্যায় আছি,Sylhet
সমস্যায় আছি,Sylhet
তুমিতাইন ওর লগে আমার জরুরি মাত আছে,Sylhet
তুমিতাইন ওর লগে আমার মাত আছে,Sylhet
আমার জরুরি মাত আছে,Sylhet
জরুরি মাত আছে,Sylhet
মাত আছে,Sylhet
আমার সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,Sylhet
সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,Sylhet
চা খাওয়ায় অভ্যাস,Sylhet
তুমিতাইন দুপুরবেলাত কিতা খাইলায়?,Sylhet
দুপুরবেলাত কিতা খাইলায়?,Sylhet
তুমিতাইন কিতা রাত্রে বারইবায় নি?,Sylhet
রাত্রে বারইবায় নি?,Sylhet
বারইবায় নি?,Sylhet
তুমিতাইন কিতা বারইবায় নি?,Sylhet
ইবায় নি?,Sylhet
আফনার লগে মাত্তে বাক্কা ভালা লাগে আমার,Sylhet
মাত্তে বাক্কা ভালা লাগে আমার,Sylhet
ভালা লাগে আমার,Sylhet
রং করাইতে পারবে নি রে,Sylhet
কাজ করতাম কিলাখান,Sylhet
আমি বাউট সমস্যায় আছি,Sylhet
মাত্তে বাক্কা ভালা লাগে,Sylhet
বাক্কা ভালা লাগে,Sylhet
আফনার লগে মাত্তে বাক্কা,Sylhet
খেলবে নি আমার পুড়ির লগে,Sylhet
আমার ওখন তোমারে ভালা লাগে,Sylhet
আমরার মাত বুঝরে তুই,Sylhet
হাছারে বা আমার গাও জ্বর,Sylhet
তোমরারে আমরা দেইখা নিমু,Sylhet
তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,Sylhet
দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,Sylhet
দুপুরবেলাত কিতা খাইলায়?,Sylhet
কিতা দিয়া ভাত ?,Sylhet
সব তাকি কাছ ওর মানুষ,Sylhet
বাক্কা ভালা লাগে,Sylhet
ভালা লাগে,Sylhet
মাত্তে বাক্কা ভালা লাগে,Sylhet
আমি তুমারে চাল্ল দিতাম নায়,Sylhet
তুমারে চাল্ল দিতাম নায়,Sylhet
আমি তুমারে চাল্ল দিতাম,Sylhet
তুমারে চাল্ল দিতাম,Sylhet
চাল্ল নায়,Sylhet
তুমিতাইন অত ঘুমাও কিতার লাগি?,Sylhet
তুমিতাইন ঘুমাও কিতার লাগি?,Sylhet
অত ঘুমাও কিতার লাগি?,Sylhet
ঘুমাও কিতার লাগি?,Sylhet
তুমিতাইন অত ঘুমাও কিতার লাগি?,Sylhet
ফুয়াটায় এখটা সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Sylhet
হে এখন রাজশাহীত গেছে গিয়া,Sylhet
হে এখেবারেও হাসে না,Sylhet
হে হাসে না,Sylhet
হে হাসে,Sylhet
হাসে না,Sylhet
এখেবারেও,Sylhet
হে রাজশাহীত গেছে গিয়া,Sylhet
রাজশাহীত গেছে গিয়া,Sylhet
গেছে গিয়া,Sylhet
হে এখন রাজশাহীত,Sylhet
আফনার সব তাকি কাছ ওর মানুষ কে?,Sylhet
আফনার কাছ ওর মানুষ কে?,Sylhet
কাছ ওর মানুষ কে?,Sylhet
মানুষ কে?,Sylhet
ঢাকাত আইছে,Sylhet
ফুয়াটায় ঢাকাত আইছে,Sylhet
ফুয়াটায় ঢাকাত আইছে,Sylhet
সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Sylhet
এখটা সাদা রঙ্গের শার্ট,Sylhet
সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Sylhet
সাদা রঙ্গের শার্ট,Sylhet
শার্ট পিন্দিয়া আইছিল,Sylhet
পিন্দিয়া আইছিল,Sylhet
আমার বউত খারাপ লাগের,Sylhet
আমার খারাপ লাগের,Sylhet
বউত খারাপ লাগের,Sylhet
খারাপ লাগের,Sylhet
তুমি কোন স্কুলো পড়ো,Sylhet
কোন স্কুলো পড়ো,Sylhet
আমরার বাড়ি চাঁদপুর,Sylhet
আমরার বাড়ি যশোর,Sylhet
তুমি কই যাও,Sylhet
কই যাও,Sylhet
তার বই পর্তে এক্দম অউ ভালা লাগে না,Sylhet
আফ্নার কিতা পরালেখা কর্তে এখদম ভালা লাগে নানি?,Sylhet
পরালেখা কর্তে এখদম ভালা লাগে নানি?,Sylhet
আফ্নার কিতা পরালেখা ভালা লাগে নানি?,Sylhet
আফ্নার কিতা পরালেখা ভালা লাগে?,Sylhet
ভালা লাগে নানি?,Sylhet
আমি কামো যাইতাম চায়,Sylhet
কামো যাইতাম চায়না,Sylhet
যাইতাম চায়না,Sylhet
চায়না,Sylhet
কামো যাইতাম চায়,Sylhet
যাইতাম চায়,Sylhet
আফনে ওউ কলম ওগু লৌকা,Sylhet
ওউ কলম ওগু লৌকা,Sylhet
কলম ওগু লৌকা,Sylhet
আফনে কলম ওগু লৌকা,Sylhet
তুমি যাইবায়,Sylhet
"ফুরুত্তা কান্দের, খানি খাওয়াও",Sylhet
নিজর থাখার জাগা নাই আবার আরকজনরে ফালার দায়িত্ব নিসে,Sylhet
আমারে হাছা কথা কৌকা,Sylhet
হাছা কথা কৌকা,Sylhet
কথা কৌকা,Sylhet
আমারে হাছা কৌকা,Sylhet
হাছা কৌকা,Sylhet
ফুরুত্তা কান্দের,Sylhet
খানি খাওয়াও,Sylhet
তুমিতাইন ঘুম তনে জলদি উঠি যাইও,Sylhet
ঘুম তনে জলদি উঠি যাইও,Sylhet
জলদি উঠি যাইও,Sylhet
উঠি যাইও,Sylhet
তুমিতাইন জলদি উঠি যাইও,Sylhet
আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
স্কুল ও যাই,Sylhet
আমি নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
আমার সকালকু কুন্টা খাইতে ভালা লাগে না,Sylhet
সকালকু কুন্টা খাইতে ভালা লাগে না,Sylhet
কুন্টা খাইতে ভালা লাগে না,Sylhet
খাইতে ভালা লাগে না,Sylhet
ভালা লাগে না,Sylhet
লাগে না,Sylhet
আমার কুন্টা খাইতে ভালা লাগে,Sylhet
আমার কুন্টা খাইতে ভালা লাগে,Sylhet
আমার কুন্টা ভালা লাগে,Sylhet
আমার খাইতে ভালা লাগে,Sylhet
আমার সকালকু কুন্টা খাইতে ভালা লাগে,Sylhet
সকালকু কুন্টা খাইতে ভালা লাগে,Sylhet
কুন্টা খাইতে ভালা লাগে,Sylhet
খাইতে ভালা লাগে,Sylhet
ভালা লাগে,Sylhet
আমার কুন্টা খাইতে ভালা লাগে,Sylhet
আমার কুন্টা খাইতে ভালা লাগে,Sylhet
আমার কুন্টা ভালা লাগে,Sylhet
আমার খাইতে ভালা লাগে,Sylhet
আমরা হারি গেছি,Sylhet
আমি ভালা আছি,Sylhet
ভালা আছি,Sylhet
আমি ভালা নাই,Sylhet
তুমি কিলাখান আছ,Sylhet
ভালা লাগের না,Sylhet
আমার ভালা লাগের না,Sylhet
আমি ক্রিকেট খেলমু,Sylhet
ক্রিকেট খেলুম,Sylhet
তুমি কই,Sylhet
একগু বিলাই দরজার ধারো বৈ রিছে,Sylhet
বিলাই দরজার ধারো বৈ রিছে,Sylhet
দরজার ধারো বৈ রিছে,Sylhet
ধারো বৈ রিছে,Sylhet
বৈ রিছে,Sylhet
আমি কামো যাইতাম চায়না,Sylhet
তুমি কই থাকি আইছো,Sylhet
কই থাকি আইছো,Sylhet
তুমি কই থাকো,Sylhet
কই থাক,Sylhet
আমি ভালা নাই,Sylhet
আফনে কিলাখান আছইন,Sylhet
তুমি কিলাখান আছো,Sylhet
কোনাখানো যাও,Sylhet
তুমি কই থাকি আইছো,Sylhet
কই থাকি আইছো,Sylhet
তুমি কিতা করো?,Sylhet
কিতার লাগি কইরায়,Sylhet
কিতা করো,Sylhet
আমার মন ভালা নাই,Sylhet
মন ভালা নাই,Sylhet
আফনারার বাড়ি কই,Sylhet
আমি স্কুলো যাইতাম না,Sylhet
আমি যাইতাম না,Sylhet
আমি স্কুলো গেছি না,Sylhet
তোমারে ওখান থাকি যাইতে কইছি,Sylhet
ওখান থাকি যাইতে কইছি,Sylhet
তুমি কিতা কাজ করো ?,Sylhet
কিতা কাজ করো ?,Sylhet
কাজ করো?,Sylhet
মাত থোরা কইন?,Sylhet
এই কাজটা করো?,Sylhet
কাজটা করো,Sylhet
বিয়ানবালা কাজ করো,Sylhet
হাইঞ্জাবালা কাজ করো,Sylhet
এক গালো একটা ছড় লাগাইয়া দিমু,Sylhet
একটা ছড় লাগাইয়া দিমু,Sylhet
আমি ভাত খাইতাম,Sylhet
ভাত খাইতাম,Sylhet
আমার কাম আছে,Sylhet
কাম আছে,Sylhet
আমরা যাইমু,Sylhet
তোমার নাম কিতা,Sylhet
আমার নাম নয়ন।,Sylhet
আমি তোমারে ভালাপাই,Sylhet
তোমারে ভালাপাই,Sylhet
তুমি কই যাইরায়,Sylhet
কই যাইরায়,Sylhet
কিতা আনতাম,Sylhet
"ফুরুত্তা কান্দের, খানি খাওয়াও",Sylhet
আমি খাই,Sylhet
আমি খেলি,Sylhet
আমি খাইমু,Sylhet
আমি পড়রাম,Sylhet
আমি পড়মু,Sylhet
আমি স্কুলো যাইমু,Sylhet
স্কুলো যাইমু,Sylhet
আমি ভাত খাইতাম না,Sylhet
খাইতাম না,Sylhet
তুমি কিতা করো,Sylhet
কিতা করো,Sylhet
আমি খেলা কররাম,Sylhet
খেলা কররাম,Sylhet
তুমি ভাত খাইছো,Sylhet
কিতা খবর তোমার,Sylhet
কিতা খবর,Sylhet
তোমরার বাড়ি কই,Sylhet
বাড়ি কই,Sylhet
কিতা করো হ্ক্কলে,Sylhet
কিতা করো,Sylhet
আমি রিক্সা দিয়া আইমু,Sylhet
রিক্সা দিয়া আইমু,Sylhet
আমার নাম আরিফ,Sylhet
তুমি কিতা কর,Sylhet
কিতা কর,Sylhet
তোমার বয়স কত,Sylhet
না ভালা নাই,Sylhet
আমি ঘুষা করছি,Sylhet
আমি তোমার লগে পরে কথা কইমু,Sylhet
ওউ বাড়ি আমরার,Sylhet
সুন্দর করিয়া বও,Sylhet
আমরা বাড়িত কেউ আইছে না,Sylhet
কিতা কররায়,Sylhet
ভাই কিতা কররায়,Sylhet
করতাম পাররাম না বহুত জ্বর,Sylhet
আপেল আমার পছন্দ,Sylhet
আঙ্গুর আমার পছন্দ,Sylhet
হে অনেক খায়,Sylhet
আমি কিতা করছি,Sylhet
আজকে বাইরে যাইমু,Sylhet
আজকে বাইরে যাইতাম নায়,Sylhet
আমারে হাছা কথা কৌকা,Sylhet
হাছা কথা কৌকা,Sylhet
কথা কৌকা,Sylhet
আমারে হাছা কৌকা,Sylhet
হাছা কৌকা,Sylhet
তুমিতাইন ঘুম তনে জলদি উঠি যাইও,Sylhet
ঘুম তনে জলদি উঠি যাইও,Sylhet
জলদি উঠি যাইও,Sylhet
উঠি যাইও,Sylhet
তুমিতাইন জলদি উঠি যাইও,Sylhet
আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
নাস্তা খাইয়া বাদে স্কুল ও যাই,Sylhet
স্কুল ও যাই,Sylhet
আমরার কাম আছে,Sylhet
তোমার কাম আছে,Sylhet
আফনার লাগি,Sylhet
তুই আজকো স্কুল ও গেছলে,Sylhet
আজকো স্কুল ও গেছলে,Sylhet
কিতা কিতা আনতাম,Sylhet
আমার সকালকু কুন্টা খাইতে ভালা লাগে না,Sylhet
সকালকু কুন্টা খাইতে ভালা লাগে না,Sylhet
কুন্টা খাইতে ভালা লাগে না,Sylhet
খাইতে ভালা লাগে না,Sylhet
ভালা লাগে না,Sylhet
লাগে না,Sylhet
আমার সকালকু খাইতে ভালা লাগে না,Sylhet
আমার সকালকু খাইতে ভালা লাগে,Sylhet
আমার সকালকু কুন্টা খাইতে ভালা লাগে,Sylhet
সকালকু কুন্টা খাইতে ভালা লাগে,Sylhet
কুন্টা খাইতে ভালা লাগে,Sylhet
খাইতে ভালা লাগে,Sylhet
ভালা লাগে,Sylhet
আমার মাত ওর জবাব দেউকা,Sylhet
মাত ওর জবাব দেউকা,Sylhet
জবাব দেউকা,Sylhet
আমি অসুস্থ ওই গেছিলাম,Sylhet
অসুস্থ ওই গেছিলাম,Sylhet
আমি হেরারে দেখছি,Sylhet
হেরারে দেখছি,Sylhet
দেখছি,Sylhet
ওনো উবাউকা,Sylhet
উবাউকা,Sylhet
সময় ফুরাই গেছে,Sylhet
শিমুর লাল রং পছন্দ,Sylhet
শিমুর সবুজ রং পছন্দ,Sylhet
শিমুরকালো রং পছন্দ,Sylhet
তাইন বাক্কা লম্বা না,Sylhet
আমি মাফ চাইয়ার,Sylhet
মাফ চাইয়ার,Sylhet
আমি চাইয়ার,Sylhet
তাইন উঠিয়া দাড়াইলা না,Sylhet
উঠিয়া দাড়াইলা না,Sylhet
দাড়াইলা না,Sylhet
তাইন দাড়াইলা না,Sylhet
আমি বাক্কা লম্বা,Sylhet
আমি লম্বা,Sylhet
আমি বাক্কা লম্বা না,Sylhet
বাক্কা লম্বা না,Sylhet
লম্বা না,Sylhet
আমি লম্বা না,Sylhet
তাইন বাক্কা লম্বা,Sylhet
আমি হারি গেছি,Sylhet
আমি হারি গেছি,Sylhet
আমি ঠিক আছি,Sylhet
ঠিক আছি,Sylhet
আমি ফিরিয়া আইছি,Sylhet
ফিরিয়া আইছি,Sylhet
আমি আইছি,Sylhet
আমি কেক ভালা ফাই,Sylhet
কেক ভালা ফাই,Sylhet
ভালা ফাই,Sylhet
আমি কেক ভালা ফাই না,Sylhet
কেক ভালা ফাই না,Sylhet
ভালা ফাই না,Sylhet
কেক ভালা না,Sylhet
থুরা ঘুমাই যাও,Sylhet
ঘুমাই যাও,Sylhet
আমি একলা আচলাম,Sylhet
একলা আচলাম,Sylhet
আমি আচলাম,Sylhet
আমার লগে থাকৌকা,Sylhet
লগে থাকৌকা,Sylhet
তাইন রাগী গেছলা,Sylhet
রাগী গেছলা,Sylhet
তাইন গেছলা,Sylhet
আমার হাত ধরক্কা,Sylhet
হাত ধরক্কা,Sylhet
আমি অবাক ওই গেছলাম,Sylhet
অবাক ওই গেছলাম,Sylhet
ওই গেছলাম,Sylhet
আমি অবাক,Sylhet
আমি আইতাম নাই,Sylhet
আইতাম নাই,Sylhet
আমি আইতাম,Sylhet
আমি হারতাম নাই,Sylhet
হারতাম নাই,Sylhet
আমি হারতাম,Sylhet
আমার হাতও বেদনা করের,Sylhet
হাতও বেদনা করের,Sylhet
বেদনা করের,Sylhet
আমার হাতও বেদনা,Sylhet
হাতও বেদনা,Sylhet
আমার পাও বেদনা করের,Sylhet
পাও বেদনা করের,Sylhet
আমার পাও বেদনা,Sylhet
পাও বেদনা,Sylhet
আফনারে কে পাঠাইছে?,Sylhet
কে পাঠাইছে?,Sylhet
পাঠাইছে?,Sylhet
আগে জাউকা,Sylhet
আফনারা জাউকা,Sylhet
আমারে ডাকবা না,Sylhet
ভালা ফাই,Sylhet
ডাক্তার না হসাই,Sylhet
তুঁই হসাই,Sylhet
দুই পুয়া আছিল্,Sylhet
কোন মানুষর দুই পুয়া আছিল্,Sylhet
কোন মানুষ,Sylhet
মানুষর দুই পুয়া আছিল্,Sylhet
করতাম কিলাখান,Sylhet
আমার হলুদ রং পছন্দ,Sylhet
আমার লাল রং পছন্দ,Sylhet
আমার সবুজ রং পছন্দ,Sylhet
আমার কালো রং পছন্দ,Sylhet
আমার সাদা রং পছন্দ,Sylhet
আপেল ভালা,Sylhet
আমি আপেল ভালা ফাই না,Sylhet
আপেল ভালা ফাই না,Sylhet
ভালা ফাই না,Sylhet
আমারে লইগা যাউকগা,Sylhet
তুঁই ডাক্তার না হসাই,Sylhet
আমার কমলা রং পছন্দ,Sylhet
আমার খয়েরি রং পছন্দ,Sylhet
আপেল ভালা না,Sylhet
আমার ঠান্ডা লাগছে,Sylhet
ঠান্ডা লাগছে,Sylhet
আমি বিদেশ গেছলাম,Sylhet
বিদেশ গেছলাম,Sylhet
আমারে হন লইগা যাউকগা,Sylhet
হন লইগা যাউকগা,Sylhet
লইগা যাউকগা,Sylhet
শিমুর সাদা রং পছন্দ,Sylhet
শিমুর নীল রং পছন্দ,Sylhet
শিমুর বেগুনি রং পছন্দ,Sylhet
ডাকবা না,Sylhet
আমারে ডাকবা,Sylhet
আমি আপেল ভালা ফাই,Sylhet
আপেল ভালা ফাই,Sylhet
ফুরাই গেছে,Sylhet
গেছে,Sylhet
সময় ফুরাই,Sylhet
আমরা উবাইমু নে,Sylhet
উবাইমু নে,Sylhet
তাইন উঠিয়া দাড়াইলা,Sylhet
উঠিয়া দাড়াইলা,Sylhet
তাইন দাড়াইলা,Sylhet
আমার নীল রং পছন্দ,Sylhet
আমার বেগুনি রং পছন্দ,Sylhet
আমার গোলাপি রং পছন্দ,Sylhet
আমার আকাশী রং পছন্দ,Sylhet
আমার ধূসর রং পছন্দ,Sylhet
আমার মেরুন রং পছন্দ,Sylhet
আমি নাস্তা খাইয়া বাদে স্কুল ও যাই না,Sylhet
আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই না,Sylhet
সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই না,Sylhet
নাস্তা খাইয়া বাদে স্কুল ও যাই না,Sylhet
স্কুল ও যাই না,Sylhet
আমি নাস্তা খাইয়া বাদে স্কুল ও যাই না,Sylhet
তাই বাদের মাশও বিদেশ যাইবো গি,Sylhet
বাদের মাশও বিদেশ যাইবো গি,Sylhet
তাই বিদেশ যাইবো গি,Sylhet
বিদেশ যাইবো গি,Sylhet
যাইবো গি,Sylhet
ফুরিতা যে বেয়াদপ,Sylhet
যে বেয়াদপ,Sylhet
যে বেয়াদপ,Sylhet
তাই যে বেয়াদপ,Sylhet
তাই বেয়াদপ,Sylhet
ফুয়াগু রাস্তা বায়দি হাটিয়া যাইরো,Sylhet
রাস্তা বায়দি হাটিয়া যাইরো,Sylhet
হাটিয়া যাইরো,Sylhet
ফুয়াগু হাটিয়া যাইরো,Sylhet
ফুয়াগু রাস্তা বায়দি যাইরো,Sylhet
ফুরিতায় লাল রংগর শারি পিন্দিয়া মর লগে দেখা করাত আইছিল,Sylhet
ফুরিতায় শারি পিন্দিয়া মর লগে দেখা করাত আইছিল,Sylhet
লাল রংগর শারি,Sylhet
মর লগে দেখা করাত আইছিল,Sylhet
দেখা করাত আইছিল,Sylhet
ফুরিতায় দেখা করাত আইছিল,Sylhet
ফুরিতায় মর লগে দেখা করাত আইছিল,Sylhet
শারি পিন্দিয়া মর লগে দেখা করাত আইছিল,Sylhet
মর লগে দেখা,Sylhet
লাল রংগর শারি পিন্দিয়া মর লগে দেখা,Sylhet
আম্মায় হেদিন থিক কথাউ কইছলা,Sylhet
আম্মায় থিক কথাউ কইছলা,Sylhet
থিক কথাউ কইছলা,Sylhet
আমি ওখানো যাইমু,Sylhet
ওবায় যাইতাম না,Sylhet
ওবায় যাইমু,Sylhet
আমরা হারি গেছি,Sylhet
হারি গেছি,Sylhet
আমরা হারি গেছিলাম,Sylhet
হারি গেছিলাম,Sylhet
আমরা গেছিলাম,Sylhet
আম ওগু কে খাইছিল?,Sylhet
কে খাইছিল?,Sylhet
আম খাইছিল,Sylhet
আমি আছি,Sylhet
আমারে বিশ্বাস করো,Sylhet
বিশ্বাস করো,Sylhet
শুক্রবার আমরা গেছিলাম,Sylhet
শুক্রবার আম্মায় হেদিন থিক কথাউ কইছলা,Sylhet
আময়ার গাড়ি ওগু গতকাইল চুরি অই গেছে,Sylhet
আমার বাসাত গতকাইল চুরি অই গেছে,Sylhet
বাসাত গতকাইল চুরি অই গেছে,Sylhet
গতকাইল চুরি অই গেছে,Sylhet
আমার গাড়ি ওগুর রঙ অইল লাল,Sylhet
গাড়ি ওগুর রঙ অইল লাল,Sylhet
সহজ ভাষায় মাতা উচিৎ,Sylhet
আমি আফনার লগে আছি,Sylhet
আফনার লগে আছি,Sylhet
লগে আছি,Sylhet
আমার আব্বা বিদেশ থাকোইন,Sylhet
আব্বা বিদেশ থাকোইন,Sylhet
বিদেশ থাকোইন,Sylhet
আমার বর বইনে আমারে খুব ভালা ফায়,Sylhet
বর বইনে আমারে খুব ভালা ফায়,Sylhet
বইনে আমারে খুব ভালা ফায়,Sylhet
আমারে খুব ভালা ফায়,Sylhet
আমার বইনে আমারে খুব ভালা ফায়,Sylhet
আমার বড় বইনরে আমি খুব ভালা ফাই,Sylhet
বড় বইনরে আমি খুব ভালা ফাই,Sylhet
বইনরে আমি খুব ভালা ফাই,Sylhet
আফনার বড় বইনের কিতা বিয়া অই গেছে নি?,Sylhet
বড় বইনের কিতা বিয়া অই গেছে নি?,Sylhet
বইনের কিতা বিয়া অই গেছে নি?,Sylhet
কিতা বিয়া অই গেছে নি?,Sylhet
আফনার বইনের কিতা বিয়া অই গেছে নি?,Sylhet
আফনার কিতা বিয়া অই গেছে নি?,Sylhet
তোর বড় ভাইওর নাম কিতা?,Sylhet
বড় ভাইওর নাম কিতা?,Sylhet
ভাইওর নাম কিতা?,Sylhet
বিদেশ ঘুরাত যাওয়া আমার স্বপ্ন,Sylhet
ঘুরাত যাওয়া আমার স্বপ্ন,Sylhet
আমার স্বপ্ন,Sylhet
আমি কোনো সময়ও তোমারে ভুলতাম না,Sylhet
কোনো সময়ও তোমারে ভুলতাম না,Sylhet
তোমারে ভুলতাম না,Sylhet
ভুলতাম না,Sylhet
তুমাইতাইম অইলায় আমার জীবনের আলো,Sylhet
অইলায় আমার জীবনের আলো,Sylhet
জীবনের আলো,Sylhet
আমারে অনো লইয়া চলো,Sylhet
অনো লইয়া চলো,Sylhet
বাক্কা দিন আগে এক গ্রামো এক টুপিয়ালা আছিল,Sylhet
এক গ্রামো এক টুপিয়ালা আছিল,Sylhet
এক টুপিয়ালা আছিল,Sylhet
টুপিয়ালা আছিল,Sylhet
হে সময় কান্দা দিয়া একগু শিয়াল যাইতো আছিলো,Sylhet
তুমাকে দেখিয়া,Sylhet
ভেমতালা লাগিয়া উবাই রইছিলাম,Sylhet
উবাই রইছিলাম,Sylhet
আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,Sylhet
মোর লাগি লাল জামা কিনিয়া আনছইন,Sylhet
লাল জামা কিনিয়া আনছইন,Sylhet
জামা কিনিয়া আনছইন,Sylhet
কিনিয়া আনছইন,Sylhet
আব্বায় লাল জামা কিনিয়া আনছইন,Sylhet
আব্বায় জামা কিনিয়া আনছইন,Sylhet
আব্বায় কিনিয়া আনছইন,Sylhet
আব্বায় মোর লাগি সবুজ জামা কিনিয়া আনছইন,Sylhet
আব্বায় মোর লাগি কালো জামা কিনিয়া আনছইন,Sylhet
আব্বায় মোর লাগি সাদা জামা কিনিয়া আনছইন,Sylhet
আব্বায় মোর লাগি নীল জামা কিনিয়া আনছইন,Sylhet
চুলগুন যে লম্বা,Sylhet
যে লম্বা,Sylhet
তারে কাজল দিলে বাক্কা ভালা লাগে,Sylhet
কাজল দিলে বাক্কা ভালা লাগে,Sylhet
বাক্কা ভালা লাগে,Sylhet
তুমি অনো থাকলে আমি খুশি,Sylhet
অনো থাকলে আমি খুশি,Sylhet
থাকলে আমি খুশি,Sylhet
